[root@factory-workspace glideinmonitor]# /usr/bin/python3 /opt/GlideinWMS/glideinmonitor/glideinmonitor/indexer/indexer.py
         4735832 function calls (4735735 primitive calls) in 62.200 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        2    0.000    0.000    0.000    0.000 /usr/lib64/python3.9/json/decoder.py:343(raw_decode)
        5    0.000    0.000    0.000    0.000 /usr/lib64/python3.9/pathlib.py:303(splitroot)
        5    0.000    0.000    0.000    0.000 /usr/lib64/python3.9/pathlib.py:725(_format_parsed_parts)
       20    0.000    0.000    0.000    0.000 /usr/lib64/python3.9/sre_parse.py:287(tell)
        4    0.000    0.000    0.000    0.000 /usr/lib64/python3.9/sre_parse.py:225(__init__)
       11    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:123(<listcomp>)
        1    0.000    0.000    0.000    0.000 {built-in method posix.utime}
        1    0.000    0.000    0.000    0.000 {built-in method builtins.sorted}
       41    0.000    0.000    0.000    0.000 {built-in method builtins.min}
        8    0.000    0.000    0.000    0.000 /usr/lib64/python3.9/enum.py:358(__call__)
       87    0.000    0.000    0.000    0.000 {method 'setdefault' of 'dict' objects}
        2    0.000    0.000    0.000    0.000 /usr/lib64/python3.9/sre_parse.py:97(closegroup)
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:127(_path_split)
        3    0.000    0.000    0.000    0.000 {built-in method posix.get_terminal_size}
        6    0.000    0.000    0.000    0.000 /usr/lib64/python3.9/sre_compile.py:265(_compile_charset)
        4    0.000    0.000    0.000    0.000 {built-in method posix.close}
        3    0.000    0.000    0.000    0.000 {built-in method posix.fstat}
        2    0.000    0.000    0.000    0.000 /usr/lib64/python3.9/sre_parse.py:268(getuntil)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:166(_get_module_lock)
        7    0.000    0.000    0.000    0.000 {built-in method builtins.max}
       20    0.000    0.000    0.000    0.000 {built-in method sys.intern}
       14    0.000    0.000    0.000    0.000 {method 'count' of 'str' objects}
        2    0.000    0.000    0.000    0.000 {method 'stat' of 'posix.DirEntry' objects}
        1    0.000    0.000    0.000    0.000 /usr/lib64/python3.9/_weakrefset.py:39(_remove)
        3    0.000    0.000    0.000    0.000 /usr/lib64/python3.9/argparse.py:820(__init__)
        2    0.000    0.000    0.000    0.000 /usr/lib64/python3.9/sre_compile.py:437(<listcomp>)
       17    0.000    0.000    0.000    0.000 /usr/lib64/python3.9/sre_parse.py:112(__init__)
        4    0.000    0.000    0.000    0.000 /usr/lib64/python3.9/sre_compile.py:485(_get_literal_prefix)
        2    0.000    0.000    0.000    0.000 /usr/lib64/python3.9/sre_parse.py:433(_uniq)
        2    0.000    0.000    0.000    0.000 /usr/lib64/python3.9/sre_parse.py:85(opengroup)
        3    0.000    0.000    0.000    0.000 /usr/lib64/python3.9/argparse.py:1567(_pop_action_class)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:696(spec_from_file_location)
        1    0.000    0.000    0.000    0.000 /usr/lib64/python3.9/os.py:282(walk)
        5    0.000    0.000    0.000    0.000 /usr/lib64/python3.9/codecs.py:186(__init__)
        3    0.000    0.000    0.000    0.000 /usr/lib64/python3.9/argparse.py:1571(_get_handler)
        4    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:129(<genexpr>)
        1    0.000    0.000    0.000    0.000 /usr/lib64/python3.9/argparse.py:964(__init__)
       14    0.000    0.000    0.000    0.000 {method 'find' of 'bytearray' objects}
        1    0.000    0.000    0.000    0.000 /usr/lib64/python3.9/_weakrefset.py:86(add)
        1    0.000    0.000    0.000    0.000 /usr/lib64/python3.9/threading.py:528(__init__)
       12    0.000    0.000    0.000    0.000 /usr/lib64/python3.9/sre_parse.py:82(groups)
        1    0.000    0.000    0.000    0.000 /usr/lib64/python3.9/argparse.py:1086(__init__)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:160(__exit__)
